DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Santa Cruz,Valle Grande,Valle Grande,"070801",70801,"14","40","7","59","4","65","11","5","5","2","9","0","15","40","34","36","28","42",Bajo,"32",-18.78375,-63.94037,3218.05,321804.91
Santa Cruz,Cordillera,Cabezas,"070703",70703,"26","65","14","75","16","73","64","12","5","1","8","35","26","43","35","38","29","43",Muy Alto,"59",-18.46389,-63.26847,5019.61,501960.93
Chuquisaca,Zudañez,Presto,"010302",10302,"10","55","10","56","16","45","0","2","6","4","4","0","11","41","29","35","27","43",Bajo,"29",-18.75565,-64.89303,1351.49,135149.13
Cochabamba,Campero,Aiquile,"030201",30201,"15","69","16","47","18","58","18","27","3","26","3","0","12","44","36","38","28","44",Alto,"47",-18.32336,-65.10380,2684.67,268467.46
Beni,Itenez,Huacaraje,"080803",80803,"22","59","16","63","11","72","0","0","0","1","18","0","6","44","28","36","28","43",Medio,"34",-13.82398,-64.06275,5513.68,551367.77
Beni,Itenez,Baures,"080802",80802,"27","66","21","63","40","72","0","17","4","2","17","0","11","41","36","38","28","47",Alto,"45",-13.62514,-62.87537,17685.12,1768512.15
Santa Cruz,German Busch,Puerto Quijarro,"071402",71402,"12","54","13","67","7","72","0","77","90","8","12","6","12","43","31","37","27","47",Muy Alto,"63",-18.42620,-57.68497,1438.76,143876.21
Pando,Madre De Dios,Bolívar,"090303",90303,"29","66","21","62","26","72","0","7","19","21","14","25","11","41","35","37","29","45",Muy Alto,"49",-11.85549,-67.35922,7546.24,754624.05
La Paz,Abel Iturralde,Ixiamas,"021501",21501,"23","59","25","62","43","72","51","73","4","20","18","24","7","40","34","37","30","44",Muy Alto,"74",-13.09014,-68.01873,37115.75,3711574.80
Cochabamba,Carrasco,Bulo Bulo,"031206",31206,"29","65","39","60","16","66","17","8","4","5","19","21","17","39","36","37","28","43",Alto,"48",-17.31218,-64.54643,2197.31,219730.66
Cochabamba,Carrasco,Pojo,"031202",31202,"21","55","20","60","8","38","17","8","1","37","12","21","11","43","27","37","30","45",Alto,"43",-17.60053,-64.86353,2405.70,240569.74
Santa Cruz,Sara,Colpa Belgica,"070603",70603,"8","61","18","67","14","55","10","61","7","21","4","0","23","37","33","31","20","32",Muy Alto,"50",-17.54349,-63.29235,291.85,29184.55
Santa Cruz,Sara,Portachuelo,"070601",70601,"15","55","14","71","8","56","51","1","14","0","18","0","29","45","34","37","26","43",Alto,"45",-17.35686,-63.44858,1110.05,111004.74
Santa Cruz,Obispo Santisteban,San Pedro,"071005",71005,"6","50","12","71","6","70","64","0","6","6","19","0","12","42","30","36","28","45",Alto,"48",-16.51734,-63.61197,3076.21,307620.71
Santa Cruz,Obispo Santisteban,Mineros,"071003",71003,"6","58","15","67","10","30","10","21","2","1","14","0","30","41","26","33","27","38",Medio,"34",-17.05283,-63.27303,427.24,42724.23
Santa Cruz,Obispo Santisteban,Fernández Alonso,"071004",71004,"11","59","16","73","12","55","10","0","10","2","17","0","30","42","36","38","29","43",Medio,"37",-16.88863,-63.21232,764.71,76471.32
